Date;DJC
01/07/2020;0
02/07/2020;0,743913043
03/07/2020;1,217021277
04/07/2020;0,788510638
05/07/2020;0
06/07/2020;1,849191489
07/07/2020;1,469023256
08/07/2020;0,806956522
09/07/2020;0,122337838
10/07/2020;0,0575
11/07/2020;1,232842105
12/07/2020;1,244963504
13/07/2020;0,586830769
14/07/2020;0,242666667
15/07/2020;0,334983607
16/07/2020;0,64845283
17/07/2020;0,375534483
18/07/2020;0,14557377
19/07/2020;0,235945946
20/07/2020;0,154153846
21/07/2020;0,763463415
22/07/2020;1,018491803
23/07/2020;0,538374101
24/07/2020;0,040727273
25/07/2020;0,090097087
26/07/2020;0,306714286
27/07/2020;0,320306748
28/07/2020;0
29/07/2020;0,716598425
30/07/2020;0,447692308
31/07/2020;0
01/08/2020;0
02/08/2020;0,173538462
03/08/2020;0,506181818
04/08/2020;0,88392126
05/08/2020;0,756954545
06/08/2020;0,0909
07/08/2020;0
08/08/2020;0
09/08/2020;0
10/08/2020;0
11/08/2020;0
12/08/2020;0
13/08/2020;0
14/08/2020;0
15/08/2020;0
16/08/2020;0,027818182
17/08/2020;0,137534247
18/08/2020;0,191153846
19/08/2020;0,066439024
20/08/2020;0
21/08/2020;0
22/08/2020;0,14323913
23/08/2020;0,564583333
24/08/2020;0,964581395
25/08/2020;0,367304348
26/08/2020;0,312
27/08/2020;0,763463415
28/08/2020;0,709324324
29/08/2020;2,768847458
30/08/2020;1,578376471
31/08/2020;1,61971831
01/09/2020;2,106865385
02/09/2020;2,234540541
03/09/2020;0,563328125
04/09/2020;0
05/09/2020;0,66875
06/09/2020;2,252455696
07/09/2020;1,79690566
08/09/2020;0,583636364
09/09/2020;0
10/09/2020;0,142645161
11/09/2020;0,349588235
12/09/2020;0,9805
13/09/2020;0,865194631
14/09/2020;0,403934426
15/09/2020;0
16/09/2020;0
17/09/2020;0,094545455
18/09/2020;0,731590909
19/09/2020;0
20/09/2020;0,088888889
21/09/2020;0,520648649
22/09/2020;1,14
23/09/2020;0,510735294
24/09/2020;3,75
25/09/2020;6,8
26/09/2020;6,1
27/09/2020;5,55
28/09/2020;4,15
29/09/2020;2,5
30/09/2020;1,205692308
01/10/2020;3,3
02/10/2020;5,2
03/10/2020;6,25
04/10/2020;5,85
05/10/2020;5,75
06/10/2020;3,9
07/10/2020;3,2
08/10/2020;1,837423077
09/10/2020;2,45
10/10/2020;5,65
11/10/2020;6,2
12/10/2020;7
13/10/2020;6,5
14/10/2020;7
15/10/2020;7
16/10/2020;5,9
17/10/2020;6,55
18/10/2020;7,15
19/10/2020;7,85
20/10/2020;5,8
21/10/2020;1,724168675
22/10/2020;1,458983051
23/10/2020;1,428
24/10/2020;4,55
25/10/2020;6,5
26/10/2020;7,3
27/10/2020;7,35
28/10/2020;6,05
29/10/2020;5,4
30/10/2020;3,05
31/10/2020;3,8
01/11/2020;2,35875
02/11/2020;1,781727273
03/11/2020;7,95
04/11/2020;10,45
05/11/2020;9,6
06/11/2020;9,3
07/11/2020;6,45
08/11/2020;3,7
09/11/2020;4,483333333
10/11/2020;5,516666667
11/11/2020;6,55
12/11/2020;6
13/11/2020;6,2
14/11/2020;4
15/11/2020;4,45
16/11/2020;6,65
17/11/2020;6,1
18/11/2020;6,8
19/11/2020;7,6
20/11/2020;10,35
21/11/2020;10,3
22/11/2020;10,1
23/11/2020;7,55
24/11/2020;10,3
25/11/2020;9,7
26/11/2020;9,95
27/11/2020;8,25
28/11/2020;9,65
29/11/2020;14,3
30/11/2020;12,95
01/12/2020;11,25
02/12/2020;10,25
03/12/2020;11,1
04/12/2020;11,65
05/12/2020;13,25
06/12/2020;12,5
07/12/2020;14,2
08/12/2020;13,9
09/12/2020;16,15
10/12/2020;12,45
11/12/2020;9,2
12/12/2020;8,15
13/12/2020;11,85
14/12/2020;8,05
15/12/2020;7,2
16/12/2020;9,85
17/12/2020;8,5
18/12/2020;9,35
19/12/2020;9,05
20/12/2020;7,95
21/12/2020;7,05
22/12/2020;3,65
23/12/2020;5,55
24/12/2020;11,15
25/12/2020;12,95
26/12/2020;14,3
27/12/2020;12,15
28/12/2020;13,55
29/12/2020;14,5
30/12/2020;12,95
31/12/2020;13,1
01/01/2021;15,65
02/01/2021;15,8
03/01/2021;14,4
04/01/2021;14,85
05/01/2021;14,95
06/01/2021;14,4
07/01/2021;14,5
08/01/2021;14,95
09/01/2021;15,8
10/01/2021;16
11/01/2021;14,85
12/01/2021;10,9
13/01/2021;10,05
14/01/2021;7,85
15/01/2021;15,4
16/01/2021;15,15
17/01/2021;13,55
18/01/2021;12,6
19/01/2021;11,95
20/01/2021;8,9
21/01/2021;10
22/01/2021;11,7
23/01/2021;13,5
24/01/2021;16,85
25/01/2021;14,35
26/01/2021;15,15
27/01/2021;11,5
28/01/2021;6,85
29/01/2021;6,7
30/01/2021;7,6
31/01/2021;9,95
01/02/2021;8,75
02/02/2021;6,95
03/02/2021;6,8
04/02/2021;9,5
05/02/2021;8,35
06/02/2021;9,6
07/02/2021;14,9
08/02/2021;18,2
09/02/2021;19,75
10/02/2021;21,15
11/02/2021;19,85
12/02/2021;18,7
13/02/2021;20,1
14/02/2021;18,8
15/02/2021;12,8
16/02/2021;8,95
17/02/2021;7,25
18/02/2021;9,2
19/02/2021;8,3
20/02/2021;4,961745455
21/02/2021;4,682973451
22/02/2021;5,3
23/02/2021;3,618210526
24/02/2021;3,473106796
25/02/2021;4,75
26/02/2021;7,75
27/02/2021;10,4
28/02/2021;10,45
01/03/2021;9,2
02/03/2021;7
03/03/2021;4,5396
04/03/2021;7,35
05/03/2021;12,6
06/03/2021;12,7
07/03/2021;13,05
08/03/2021;13,5
09/03/2021;10,65
10/03/2021;10,75
11/03/2021;6,85
12/03/2021;9,5
13/03/2021;8,55
14/03/2021;10,85
15/03/2021;8,9
16/03/2021;10,1
17/03/2021;9,7
18/03/2021;11,4
19/03/2021;11,35
20/03/2021;11,8
21/03/2021;9,6
22/03/2021;11,55
23/03/2021;9,2
24/03/2021;6,594986486
25/03/2021;6,5
26/03/2021;7,8
27/03/2021;9,2
28/03/2021;6,5
29/03/2021;4,389930636
30/03/2021;2,658333333
31/03/2021;2,163076923
01/04/2021;1,51838806
02/04/2021;7,1
03/04/2021;8,9
04/04/2021;9,45
05/04/2021;10,95
06/04/2021;13,8
07/04/2021;13,05
08/04/2021;9
09/04/2021;7,7
10/04/2021;6,65
11/04/2021;11,75
12/04/2021;10,8
13/04/2021;10,8
14/04/2021;10,2
15/04/2021;10,7
16/04/2021;10,75
17/04/2021;8,3
18/04/2021;8,25
19/04/2021;6,2
20/04/2021;4,273150442
21/04/2021;3,848769231
22/04/2021;5,72715
23/04/2021;4,56384252
24/04/2021;4,365912409
25/04/2021;5,1584
26/04/2021;5,505913043
27/04/2021;5,102217391
28/04/2021;4,033275591
29/04/2021;7,1
30/04/2021;6,7
01/05/2021;7,9
02/05/2021;7,85
03/05/2021;6,087209302
04/05/2021;5,6
05/05/2021;8,2
06/05/2021;9,05
07/05/2021;7,05
08/05/2021;3,12270229
09/05/2021;0,972571429
10/05/2021;2,301686747
11/05/2021;4,95
12/05/2021;6,25
13/05/2021;4,9
14/05/2021;6,5
15/05/2021;4,8
16/05/2021;4,6
17/05/2021;4,45
18/05/2021;4,45
19/05/2021;7,1
